,nonregistered_cd_l,registered_cd_l,mean_displacement_error_l,overlap_scores,landmark_loss_l,wall_time_models,ngenet_cd_l,visible_point_ratio,displ_ngenet,displ,len_coors_l
1025,2.95552134513855,0.44722917675971985,0.767944,0.34728940783986656,0.3658338747677579,7.012076139450073,0.4247599244117737,0.34728940783986656,"[[ 0.12512194 -2.40452568 -1.51502263]
 [ 0.13969976 -2.38603722 -1.50926712]
 [ 0.17082228 -2.40380373 -1.5281014 ]
 ...
 [ 1.75871285 -0.11397615 -0.75110654]
 [ 1.73914056 -0.12405176 -0.75081686]
 [ 1.77516005 -0.10259011 -0.74976396]]","[[ 0.24157715 -2.3283453  -1.2940187 ]
 [ 0.24934769 -2.3040133  -1.2807283 ]
 [ 0.28181267 -2.3160877  -1.2976236 ]
 ...
 [ 1.6825418  -0.08052254 -0.29845715]
 [ 1.6637192  -0.09415627 -0.29840088]
 [ 1.6982489  -0.06363106 -0.2992096 ]]",2463
1026,0.8733081817626953,0.29993554949760437,0.76648176,0.3317764804003336,0.4764697349609223,6.721134662628174,0.3247901201248169,0.3317764804003336,"[[ 0.38291948 -0.87948105  1.03588511]
 [ 0.36554035 -0.85639072  1.03835647]
 [ 0.36153005 -0.85162362  1.03554704]
 ...
 [-0.57781515  0.15188034 -0.30150677]
 [-0.58193832  0.16171025 -0.27476246]
 [-0.56748297  0.13262563 -0.33621205]]","[[ 0.8025894  -0.91099834  0.8919277 ]
 [ 0.79237175 -0.87749386  0.9172039 ]
 [ 0.7781372  -0.8875818   0.9045143 ]
 ...
 [-0.83792496  0.10159683 -0.05915165]
 [-0.83997345  0.10403442 -0.03069878]
 [-0.82598114  0.09181595 -0.10545444]]",2503
1027,0.4302060604095459,0.13618136942386627,0.41175586,0.3422852376980817,0.2358910567771072,6.640162467956543,0.17738229036331177,0.3422852376980817,"[[ 1.0089429  -0.97827158  0.74297979]
 [ 0.98586973 -0.9550716   0.745622  ]
 [ 0.98835518 -0.95732052  0.74458313]
 ...
 [ 0.10814685  0.44272715 -0.70767377]
 [ 0.0937797   0.44833161 -0.67936061]
 [ 0.13204735  0.43007972 -0.74474525]]","[[ 0.99915504 -0.8925772   0.4587984 ]
 [ 0.9818649  -0.87137604  0.46118546]
 [ 0.9870262  -0.8686533   0.45671558]
 ...
 [ 0.16816711  0.48685646 -0.64921665]
 [ 0.15804482  0.48773384 -0.6259136 ]
 [ 0.18461227  0.48036957 -0.6793351 ]]",2627
1028,1.0599085092544556,0.3181672990322113,0.77399164,0.3653044203502919,0.417299237015218,6.832453966140747,0.3519477844238281,0.3653044203502919,"[[ 0.29272213  0.82749863  0.44194704]
 [ 0.2842423   0.79762764  0.44286381]
 [ 0.28957258  0.79289448  0.4694758 ]
 ...
 [ 0.20700226 -0.08135452  1.1530791 ]
 [ 0.19612537 -0.10176711  1.13354471]
 [ 0.22227922 -0.04674052  1.17363406]]","[[ 0.5326977   1.1367807   0.19703484]
 [ 0.5199394   1.1083622   0.20018578]
 [ 0.5188179   1.1115294   0.2205019 ]
 ...
 [ 0.08176231 -0.01069069  1.1308956 ]
 [ 0.07365036 -0.03405762  1.1108828 ]
 [ 0.09515381  0.02825928  1.151453  ]]",2564
1029,3.137751817703247,0.7192764282226562,1.4554374,0.35629691409507924,0.9544028380477506,6.771878957748413,0.7360731363296509,0.35629691409507924,"[[ 2.18042504 -2.5383356   0.16655562]
 [ 2.1738485  -2.54399585  0.16556071]
 [ 2.22758465 -2.57451832  0.17796513]
 ...
 [ 3.40867699  0.15643811  0.26117701]
 [ 3.36221743  0.1133707   0.25431853]
 [ 3.46135283  0.21860911  0.26820813]]","[[ 2.3678875  -2.357665    0.22514153]
 [ 2.3652782  -2.3697157   0.22919273]
 [ 2.4229279  -2.3917665   0.24815464]
 ...
 [ 3.4497385   0.37179565  0.56803703]
 [ 3.411313    0.32020473  0.5617428 ]
 [ 3.490056    0.44354153  0.57131386]]",2441
1030,1.2385103702545166,0.2704920172691345,0.6630051,0.36063386155129273,0.4114195451387217,6.899400472640991,0.3818613886833191,0.36063386155129273,"[[-1.0279244   0.16988762 -2.56720363]
 [-0.98495523  0.1518726  -2.55204098]
 [-0.97688158  0.14832916 -2.56771475]
 ...
 [ 0.40705453 -0.41128885  0.32178431]
 [ 0.4338417  -0.42281501  0.29669045]
 [ 0.36038128 -0.39131165  0.35305231]]","[[-0.7225189   0.2536974  -2.5505342 ]
 [-0.68395424  0.23528767 -2.5303574 ]
 [-0.6773186   0.23799801 -2.537015  ]
 ...
 [-0.14301872 -0.6445427   0.5780926 ]
 [-0.11086464 -0.65948486  0.55553246]
 [-0.19316292 -0.61902046  0.60388947]]",2644
1031,1.3391151428222656,0.5153242945671082,0.906955,0.3201000834028357,0.5089317954684337,7.070572853088379,0.6220546960830688,0.3201000834028357,"[[ 0.1097705  -0.71744755 -1.40452112]
 [ 0.13548746 -0.73333521 -1.3977733 ]
 [ 0.15038513 -0.74571238 -1.39881091]
 ...
 [ 1.56210276 -0.61881214  0.5280832 ]
 [ 1.56479397 -0.63638616  0.503997  ]
 [ 1.54972248 -0.59007139  0.55769591]]","[[ 0.0803833  -0.7342615  -1.302372  ]
 [ 0.09861183 -0.7456217  -1.3005886 ]
 [ 0.11953735 -0.76455307 -1.2934618 ]
 ...
 [ 1.5461416  -0.60844994  0.6877136 ]
 [ 1.5477104  -0.6297455   0.6658735 ]
 [ 1.5348768  -0.5749912   0.713789  ]]",2666
1032,1.0703761577606201,0.08720351755619049,0.30011004,0.3896580483736447,0.20861286703052798,6.978319406509399,0.11742615699768066,0.3896580483736447,"[[-0.65835219  1.41680569 -1.5056822 ]
 [-0.62919304  1.41868943 -1.4974643 ]
 [-0.64162083  1.44490493 -1.52333314]
 ...
 [-0.74585256  0.4503782  -0.73503198]
 [-0.70384706  0.46071417 -0.72950425]
 [-0.80531544  0.43216399 -0.73989365]]","[[-0.50728035  1.3120384  -1.4784279 ]
 [-0.4829216   1.321126   -1.4651384 ]
 [-0.4937191   1.3482723  -1.4851036 ]
 ...
 [-0.9200573   0.494936   -0.44902515]
 [-0.88082314  0.5010452  -0.4450941 ]
 [-0.97405815  0.48277092 -0.4542246 ]]",2898
1033,1.253436803817749,1.8585247993469238,1.2576703,0.3641367806505421,0.615030486445932,6.970177888870239,1.9242703914642334,0.3641367806505421,"[[-0.04908291 -0.79151344 -1.46203611]
 [-0.02695594 -0.7928754  -1.45673031]
 [-0.01473777 -0.80117731 -1.46786525]
 ...
 [ 1.20892187 -0.35922099 -0.21092628]
 [ 1.21128809 -0.36559895 -0.22196961]
 [ 1.19830495 -0.34924997 -0.19611682]]","[[-0.05745316 -0.19715309 -1.5326052 ]
 [-0.04511642 -0.215415   -1.5121088 ]
 [-0.0371933  -0.2144165  -1.524621  ]
 ...
 [ 1.1384869  -0.27152634 -0.14561081]
 [ 1.1479969  -0.27632523 -0.15336227]
 [ 1.1183968  -0.26472473 -0.13500881]]",2374
1034,1.0609068870544434,0.7348217368125916,1.1737043,0.32243536280233526,0.7726788903672602,6.966395139694214,0.7086799144744873,0.32243536280233526,"[[ 0.03056705  0.3782806  -1.39840206]
 [ 0.05272842  0.3564677  -1.39236227]
 [ 0.05682514  0.35242036 -1.39137823]
 ...
 [ 0.92509765 -0.31128758  0.44552651]
 [ 0.93630903 -0.32556249  0.42140969]
 [ 0.9044027  -0.28672762  0.47501677]]","[[ 0.12489891  0.50616646 -1.7551041 ]
 [ 0.13692284  0.48482418 -1.7457476 ]
 [ 0.13825798  0.48860645 -1.7495222 ]
 ...
 [ 0.9407654  -0.4029503   0.5900879 ]
 [ 0.9619732  -0.4237404   0.5628805 ]
 [ 0.90213776 -0.3679123   0.6228161 ]]",2382
1035,2.1585097312927246,1.0037592649459839,1.0227392,0.3431192660550459,0.49694436895075284,7.0064146518707275,0.6207385063171387,0.3431192660550459,"[[-0.23232928  2.65679229 -1.30708359]
 [-0.21647094  2.61545553 -1.29890751]
 [-0.23222822  2.6343536  -1.29233107]
 ...
 [-0.81570499  0.24489506  0.99931414]
 [-0.78084381  0.22806515  0.96820219]
 [-0.86206372  0.2737808   1.03637432]]","[[ 0.14634514  3.0063934  -1.0518169 ]
 [ 0.1527443   2.9806404  -1.0262642 ]
 [ 0.14430618  3.0328922  -0.99460506]
 ...
 [-1.089489    1.412775    3.6234179 ]
 [-1.073103    1.3720913   3.6299534 ]
 [-1.1076717   1.4708223   3.6031742 ]]",2467
1036,2.3321094512939453,2.660785675048828,1.3032446,0.3678065054211843,0.3485263161306638,6.710154056549072,0.9786872863769531,0.3678065054211843,"[[ 0.69809612  1.17504431  0.45809917]
 [ 0.68631168  1.13964171  0.45999081]
 [ 0.68667493  1.14052211  0.4911365 ]
 ...
 [ 0.23144668 -0.23216755  1.31229119]
 [ 0.22451371 -0.25284118  1.29008142]
 [ 0.24328281 -0.19677744  1.33530107]]","[[0.5622597  1.3939724  0.7177601 ]
 [0.55208397 1.3149529  0.71335506]
 [0.56502724 1.2821331  0.74251366]
 ...
 [1.8705225  0.03911209 0.37743092]
 [1.8541212  0.01854706 0.36790562]
 [1.8849287  0.06836891 0.38747597]]",2581
1037,0.7310488224029541,0.6120953559875488,1.1039658,0.3803169307756464,0.5591796927797361,6.878155469894409,0.56960529088974,0.3803169307756464,"[[ 0.13281585 -0.81076909 -0.43262947]
 [ 0.13871753 -0.80226044 -0.43076742]
 [ 0.14642109 -0.80748052 -0.43979223]
 ...
 [ 0.7098919  -0.07246492 -0.3162434 ]
 [ 0.70498206 -0.07268406 -0.31298081]
 [ 0.71347667 -0.07342819 -0.31941429]]","[[ 0.4399681  -0.5264511  -0.6319256 ]
 [ 0.44940758 -0.52758026 -0.62623787]
 [ 0.45896912 -0.530344   -0.6345005 ]
 ...
 [ 0.91625214 -0.17727852 -0.04151726]
 [ 0.91744804 -0.18443108 -0.04206753]
 [ 0.9104252  -0.16671753 -0.04101849]]",2512
