,nonregistered_cd_l,mean_displacement_error_l,registered_cd_l,regtr_cd_l,landmark_loss_l,wall_time_models,displ,len_inds
0,2.6067590713500977,2.2142810821533203,0.6104652881622314,1.1319003105163574,0.6094671343955143,6.557858228683472,"[[ 0.21846962  2.9081078  -2.1150446 ]
 [ 0.2578087   2.9265661  -2.097783  ]
 [ 0.24876595  2.9541836  -2.107565  ]
 ...
 [-1.9308243   2.3250303  -0.30495834]
 [-1.846386    2.3105497  -0.3010888 ]
 [-2.0431747   2.332533   -0.31454563]]",2294
1,2.6550188064575195,1.642565131187439,0.3559374213218689,0.6093387603759766,0.2705258192116582,6.249383211135864,"[[ 1.1242676e-01  9.0699768e-01 -1.8113155e+00]
 [ 1.2304115e-01  9.1003227e-01 -1.7981405e+00]
 [ 1.2843132e-01  9.3135548e-01 -1.8370390e+00]
 ...
 [-1.7089844e-03  1.8694057e+00 -1.3045788e+00]
 [ 2.3601532e-02  1.8651237e+00 -1.2811937e+00]
 [-3.9001465e-02  1.8654985e+00 -1.3340707e+00]]",2336
2,2.323364734649658,1.561303973197937,0.43580037355422974,0.3797690272331238,0.3336818565740196,6.276294946670532,"[[-0.25061417 -0.98533916 -2.0417852 ]
 [-0.2058506  -1.0086279  -2.0145235 ]
 [-0.18333435 -1.0332851  -1.9870691 ]
 ...
 [ 1.8790293  -0.7523041   2.697979  ]
 [ 1.8810024  -0.8153877   2.6721487 ]
 [ 1.861103   -0.6630459   2.719617  ]]",2277
3,1.5468940734863281,1.3646337985992432,0.5744727253913879,0.7276552319526672,0.3336774414726524,6.2334325313568115,"[[ 1.4969711  -1.2385645   1.4505262 ]
 [ 1.4782772  -1.2345781   1.457612  ]
 [ 1.5038033  -1.2534351   1.4758091 ]
 ...
 [ 1.1707087   0.7092037   0.22512245]
 [ 1.1526546   0.68689823  0.2604971 ]
 [ 1.1969595   0.7324934   0.17631531]]",2409
4,1.2054598331451416,0.9761966466903687,0.45577362179756165,0.41873639822006226,0.314098703732662,6.400654554367065,"[[ 1.1365128  -0.6925049   0.68660164]
 [ 1.112875   -0.66990757  0.6926794 ]
 [ 1.1080952  -0.6545334   0.69083405]
 ...
 [-0.66350746  0.30270767 -0.4636526 ]
 [-0.66708374  0.30623245 -0.43436337]
 [-0.6525688   0.29102707 -0.50409746]]",2470
5,0.9327183365821838,1.248946189880371,0.13807541131973267,0.2488260567188263,0.37864270525490706,6.380816698074341,"[[ 1.2691975   0.03049946  1.8206549 ]
 [ 1.2400398   0.02657318  1.8232565 ]
 [ 1.2431259   0.0324707   1.8523073 ]
 ...
 [-0.5695381  -0.30797958  1.4133329 ]
 [-0.57883835 -0.31183624  1.4190502 ]
 [-0.549284   -0.3017807   1.3991861 ]]",2378
6,0.9069643616676331,1.1414765119552612,0.273235023021698,0.21904055774211884,0.2867760920879359,6.320713996887207,"[[ 0.74290085  2.2915459  -0.17046547]
 [ 0.7413597   2.2386198  -0.16750431]
 [ 0.7437668   2.2549076  -0.16162586]
 ...
 [ 0.13620949  0.25784492  0.820673  ]
 [ 0.15429497  0.23901558  0.797781  ]
 [ 0.11106491  0.28822517  0.84617996]]",2311
7,1.25046968460083,1.4954135417938232,0.22245678305625916,0.34931761026382446,0.3661126100978837,6.244894027709961,"[[2.188202   0.6017618  2.1784496 ]
 [2.1594028  0.6019831  2.1847954 ]
 [2.1845703  0.61375713 2.2293816 ]
 ...
 [0.20685959 1.495163   0.7424774 ]
 [0.20458221 1.4854212  0.76415634]
 [0.21915436 1.4920168  0.70478153]]",2483
8,2.075035333633423,1.7928924560546875,0.2389264702796936,0.40830960869789124,0.21702898906490933,6.29052734375,"[[ 1.4721966  -3.4840193   0.19219112]
 [ 1.4405689  -3.4369917   0.1987381 ]
 [ 1.464716   -3.448635    0.18184471]
 ...
 [ 0.77658844  0.07889938 -1.1267018 ]
 [ 0.7508278   0.07368469 -1.0842242 ]
 [ 0.8094902   0.07775497 -1.183105  ]]",2362
9,2.802381992340088,1.5967738628387451,0.12554620206356049,0.30221185088157654,0.4416192627673099,6.478003263473511,"[[-0.29546547 -0.78959084 -2.8377218 ]
 [-0.25567818 -0.7821779  -2.8229923 ]
 [-0.23148346 -0.79732513 -2.8514957 ]
 ...
 [ 2.3691568   1.1806688  -0.70930815]
 [ 2.3408222   1.1557026  -0.7120166 ]
 [ 2.3892956   1.2039204  -0.7049217 ]]",2373
10,1.0002412796020508,1.266327142715454,0.1507083773612976,0.23775729537010193,0.17994438675212424,6.369059324264526,"[[ 0.9010296  -2.0013533   0.46180153]
 [ 0.8973217  -1.9660349   0.4818344 ]
 [ 0.92103386 -1.9703703   0.47035313]
 ...
 [ 0.5494213   0.32184792 -0.6735735 ]
 [ 0.5310173   0.32077026 -0.6360903 ]
 [ 0.5774288   0.3168106  -0.72394276]]",2403
11,2.5155181884765625,1.5201181173324585,0.610974907875061,0.6961755156517029,0.4593001394787814,6.301529884338379,"[[ 1.5490494  -1.282402   -0.3814373 ]
 [ 1.5377941  -1.3108187  -0.3719883 ]
 [ 1.5781536  -1.3437252  -0.36804008]
 ...
 [ 2.759594   -0.49481583  0.874321  ]
 [ 2.7278528  -0.53936005  0.8682308 ]
 [ 2.7900648  -0.4292946   0.87579155]]",2151
