,nonregistered_cd_l,mean_displacement_error_l,registered_cd_l,regtr_cd_l,landmark_loss_l,wall_time_models,displ,len_inds,overlap_scores
0,0.9126824140548706,1.1652555465698242,1.3687002658843994,0.9126824140548706,0.4944742039208147,6.629670143127441,"[[ 1.433815    2.1830912   0.3736925 ]
 [ 1.4012547   2.1753187   0.38335705]
 [ 1.38554     2.2153082   0.3981943 ]
 ...
 [ 0.9613285  -0.3863411   1.1211853 ]
 [ 0.9757519  -0.41374207  1.1082506 ]
 [ 0.93385506 -0.3524475   1.1267433 ]]",2208,0.3561301084236864
1,1.5618568658828735,1.8318023681640625,0.28999781608581543,1.5618568658828735,0.567864151464481,6.158550024032593,"[[ 0.1343689   3.4414072  -2.0748167 ]
 [ 0.10400581  3.3563147  -1.9895115 ]
 [ 0.06843567  3.3729582  -1.9234028 ]
 ...
 [-0.49557495  0.30704117  1.1072445 ]
 [-0.48265457  0.28032112  1.0681181 ]
 [-0.52368546  0.347332    1.159564  ]]",2210,0.3309424520433695
2,1.335489273071289,2.213235855102539,2.4137120246887207,1.335489273071289,1.4221288439174942,5.93967604637146,"[[ 2.5799122  -4.213649   -3.1514254 ]
 [ 2.5600033  -4.19102    -3.0772085 ]
 [ 2.6233006  -4.199795   -3.128933  ]
 ...
 [-1.2225418  -0.23890305  0.5231018 ]
 [-1.210268   -0.27809334  0.57513714]
 [-1.2453518  -0.18798065  0.443388  ]]",2078,0.15296080066722267
3,2.350604295730591,1.8626424074172974,1.115930199623108,2.350604295730591,0.5198341103937615,6.073260545730591,"[[ 1.2932453  -3.314621   -1.1363115 ]
 [ 1.2263298  -3.2701378  -1.0546417 ]
 [ 1.3253136  -3.250699   -1.1059885 ]
 ...
 [-1.6236744   0.12757874  2.3154907 ]
 [-1.591301    0.08520508  2.28304   ]
 [-1.6581268   0.18261528  2.3155088 ]]",2373,0.44670558798999166
4,1.408592939376831,1.802145004272461,1.0841552019119263,1.408592939376831,0.5675951203708542,6.373354434967041,"[[ 2.4045258  -3.960927   -0.4592018 ]
 [ 2.3456516  -3.9336557  -0.4182682 ]
 [ 2.438877   -3.9065838  -0.4378252 ]
 ...
 [-0.3534794  -0.5991802   1.3536005 ]
 [-0.38817024 -0.6118469   1.3657293 ]
 [-0.30677795 -0.5798588   1.3356524 ]]",2424,0.5384487072560467
5,1.1371197700500488,1.6182254552841187,0.8009074330329895,1.1371197700500488,0.6838386880473095,6.0561583042144775,"[[ 1.0961895  -2.223383   -3.4564867 ]
 [ 1.141201   -2.2064705  -3.368328  ]
 [ 1.2013512  -2.1672688  -3.3619194 ]
 ...
 [ 1.2068567   0.84124565  0.93230534]
 [ 1.2329855   0.7824335   0.9508724 ]
 [ 1.1624184   0.9124279   0.8965645 ]]",2266,0.30141784820683903
6,0.706872820854187,1.4950612783432007,0.4423862397670746,0.706872820854187,0.8657164296036535,6.060389280319214,"[[ 1.3360596  -0.3301134   1.406374  ]
 [ 1.3139286  -0.4046049   1.503335  ]
 [ 1.3558922  -0.41947746  1.6215773 ]
 ...
 [ 0.8526993   1.1023474   0.5703602 ]
 [ 0.83428574  1.0789709   0.59607506]
 [ 0.88046074  1.1309948   0.52969074]]",2134,0.3090909090909091
7,0.8109289407730103,1.5734742879867554,1.5437887907028198,0.8109289407730103,1.1951377111887742,5.8698296546936035,"[[-0.01050758 -2.0296202  -2.0509071 ]
 [ 0.0348587  -2.0526495  -1.9914875 ]
 [ 0.0709095  -2.0420132  -2.0037947 ]
 ...
 [ 0.13108444  0.8986387  -0.8492508 ]
 [ 0.19287872  0.8897829  -0.83547974]
 [ 0.03887177  0.90387154 -0.86122036]]",2035,0.19049207673060883
8,0.838455080986023,1.9273219108581543,1.5744547843933105,0.838455080986023,1.5452075055194605,6.0431883335113525,"[[ 2.3604698  -4.571559    0.07265568]
 [ 2.2554092  -4.5138903   0.12520218]
 [ 2.3294468  -4.451578    0.10202885]
 ...
 [-0.32183266  1.7653685  -0.34534264]
 [-0.29720306  1.7279482  -0.29145002]
 [-0.3525219   1.8125887  -0.42804813]]",2099,0.32543786488740617
9,1.5198919773101807,1.998201608657837,1.9573874473571777,1.5198919773101807,1.6314788129293554,5.990545272827148,"[[ 1.908905  -1.6985292 -0.6087704]
 [ 1.9130917 -1.6334543 -0.6688452]
 [ 1.9871006 -1.5985355 -0.57969  ]
 ...
 [ 1.3665829  1.2061291  1.0033798]
 [ 1.3015003  1.1628981  0.997035 ]
 [ 1.4473763  1.2791882  0.9846039]]",2156,0.1281067556296914
